artista,título,letra,gênero
Anitta,Menina Ma,"Me olha e deseja que eu veja
Mas já digo: ""não vai rolar!""
Agora é tarde pra você querer me ganhar
Rebolo e te olho
Mas eu não quero mais ficar
Admito que acho graça em ver você babar



Vem, se deixa render

Vou como sereia naufragar você

Satisfaço o meu prazer

Te provocar e deixar você querer



Agora eu vou me vingar: menina má

Vou provocar, vou descer e vou instigar

Me pede beijo, desejo

Não vou beijar

Pode sonhar!

Sou uma menina má",funk pop
Anitta,Vai Malandra,"Paroles de la chanson Vai Malandra par Anitta
[MC Zaac]
Vai, vai malandra (an, an)
Êta louca, tu brincando com o bumbum (an, an)
Tutudum (an, an)
Vai malandra (an, an)
Êta louca, tu brincando com o bumbum (an, an)
Tutudum (an, an)

[Anitta]
Tá pedindo (an, an)
Se prepara, vou dançar presta atenção (an, an)
Tutudum (an, an)
Cê aguenta? (an, an)
Se eu te olhar, descer e quicar até o chão (ela brinca não)
Tutudum (an, an)


[MC Zaac & Anitta]
Desce, rebola gostoso
Empina me olhando, eu te pego de jeito
Se eu começar embrazando contigo é:
""Taca, taca, taca, taca""
Desço, rebolo gostoso
Empino te olhando
Te pego de jeito
Se eu começar embrazando contigo é (ah)

[Anitta]
Não vou mais parar
Cê vai aguentar
Não vou mais parar
Cê vai aguentar

[Maejor]

Vai malandra
Show me some
Brazilian baby, you know I want ya
Booty big, sit a glass on it
See my zipper, put that ass on it
Hypnotized by the way you shake it
I can't lie I'm tryna see you naked
Anitta baby, I'm tryna spank it
I can give it to you, can you take it?

[Ponte: MC Zaac]
Já tá louca, bebendo
Tão solta, envolvendo eu tô vendo
Não para não

[MC Zaac, Anitta & Maejor]
Vai malandra (an, an)
Êta louca, tu brincando com o bumbum (an, an)

Tutudum (an, an)
Bem malandra (an, an)
Eu tô louca, tô brincando com o bumbum (an, an)
Vai malandra (an, an)
Turn around and put it down on me (an, an)
Baby (an, an)
Vai malandra (an, an)
Êta louca, tô brincando com o bumbum (an, an)
Baby (an, an)

[MC Zaac & Anitta]
Desce, rebola gostoso
Empina me olhando, eu te pego de jeito
Se eu começar embrazando contigo é:
""Taca, taca, taca, taca""
Desço, rebolo gostoso
Empino te olhando
Te pego de jeito

Se eu começar embrazando contigo é (ah)

[Anitta]
Não vou mais parar
Cê vai aguentar
Não vou mais parar
Cê vai aguentar

[Maejor]
Yeah
Throw it back on me and Zaac (ei)
Make it clap yea I'm into that (ei)
Pullin' trax yea I'm into that (ei)
From the back yea I'm into that (ei)
Big dog to the kitty cat (ah)
Young boss where the Milly's at (ei)
In favela where it's litty at (ei)
And the whole Brazil is feelin' that


[MC Zaac]
Já tá louca, bebendo
Tão solta, envolvendo eu tô vendo
Não para não

[Refrão: MC Zaac, Anitta & Maejor]
Vai malandra (an, an)
Êta louca, tu brincando com o bumbum (an, an)
Tutudum (an, an)
Vai malandra (an, an)
Êta louca, tô brincando com o bumbum (an, an)
Baby",funk pop
Anitta,Fica Só Olhando,"Segura, se prepara, vou provocar
Se controla e repara, eu rebolar
Se comporta que eu encosto
Mas não vou grudar
Faz parte do que eu gosto
Gosto de atiçar

Mas não vá pensando

Que eu tô te chamando, não

Eu já to avisando: Fica só olhando



Não jogue ideia pra mim

Beijo tu manda pra Xuxa

Sai! Nem pense que posso ser sua

Não adianta insistir

Vá procurar uma ajuda

Sai, nem pense que posso ser sua



Não jogue ideia pra mim

Beijo tu manda pra Xuxa

Sai! Nem pense que posso ser sua

Não adianta insistir

Vá procurar uma ajuda

Sai, nem pense que posso ser sua



Segura, se prepara, vou provocar

Se controla e repara, eu rebolar

Se comporta que eu encosto

Mas não vou grudar

Faz parte do que eu gosto

Gosto de atiçar

Mas não vá pensando

Que eu tô te chamando, não

Eu já to avisando: Fica só olhando



Não jogue ideia pra mim

Beijo tu manda pra Xuxa

Sai! Nem pense que posso ser sua

Não adianta insistir

Vá procurar uma ajuda

Sai, nem pense que posso ser sua



Não jogue ideia pra mim

Beijo tu manda pra Xuxa

Sai! Nem pense que posso ser sua

Não adianta insistir

Vá procurar uma ajuda

Sai, nem pense que posso ser sua



Segura se prepara vou provocar,

Vou provocar, vou provocar

Segura se prepara vou provocar,

Vou provocar",funk pop
Anitta,Meiga E Abusada,"Eu posso conquistar tudo que eu quero
Mas foi tão fácil pra te controlar
Com jeito de menina brincalhona
A fórmula perfeita pra poder te comandar
Pensou que eu fosse cair mesmo nesse papo?

O que tá solteiro e agora quer parar

Eu finjo, vou fazendo meu teatro

E te faço de palhaço, pra te dominar



Tá fazendo tudo que eu mando

Achando que logo vai me ter

Mas no fundo eu só tô brincando com você



Poderosa, eu sou quase um anjo

Hipnose, já ganhei você

Nesse jogo vamos ver quem é que vai vencer



Toda produzida, ah

Te deixo quente

Meiga e abusada, faço você se perder

E quem foi que disse que eu estava apaixonada por você

Eu só quero saber



Linda e perfumada, ah

Na tua mente

Faz o que quiser comigo na imaginação

Homem do teu tipo eu uso, mas se chega lá eu digo não

Eu sempre digo não",funk pop
Luisa Sonza,Sagrado Profano,"Paroles de la chanson Sagrado Profano par Luísa Sonza
[Luísa Sonza]
Dirijo sozinha pela tua rua
Deitada na cama com a camisa tua
Mania de mim
Só nós dois enfim
Fim de tarde em Tom Rosé
Dá vontade de beber
Mais um trago de você
Faz fumaça pra aquecer

[Luísa Sonza]
Me olha e me encara, eu sou tua caça
Me engole e me encaixa, pode me comer
Pode me fu , ah
Pode me 


[Luísa Sonza, KayBlack]
Me encontra em todo mundo
Procura e me destrincha a fundo
Me diz qual amor não é confuso
Minado, inseguro
Ciúme de um fatídico segundo
Sagrado amor profano
Impuro amor profundo, yeah, eh-eh

[KayBlack]
Se a gente for a fundo mesmo
Pra te recordar que eu quis enfrentar
Todo esse sentimento confuso
Minado e inseguro
Como um mergulho raso
Buscando algo profundo, yeah, yeah, yeah

[KayBlack]

Não que eu seja inseguro, mas
'Cê nem me deu confiança
Eu tentei preservar o futuro em nós
Vai e vem nessa distância
E as lembranças só afetam mais
Fim de tarde nos lençóis
Bateu saudade de você sem
Sentada na cama com a minha peita branca
Me beija, me arranha, pede pra eu, ah-ah-ah
Pede pra eu fazer, pra satisfazer
O seu prazer na cama
Anoiteceu, o quarto entra em chama
E é você quem chama e eu não vou negar que
Depois das briga' eu te desejo mais, mas
Quero te ouvir falar

[Luísa Sonza, KayBlack]
Me olha e me encara, eu sou tua caça

Me engole e me encaixa, pode me comer
Pode me fu , ah
Pode me fu , ah

[Luísa Sonza, KayBlack]
Me encontra em todo mundo
Procura e me destrincha a fundo
Me diz qual amor não é confuso
Minado, inseguro
Ciúme de um fatídico segundo
Sagrado amor profano
Impuro amor profundo, yeah, eh, eh

[KayBlack]
Se a gente for a fundo mesmo
Pra te recordar que eu quis enfrentar
Todo esse sentimento confuso
Minado e inseguro

Como um mergulho raso
Buscando algo profundo, yeah, yeah, yeah",pop
Luisa Sonza,Cachorrinhas,"Paroles de la chanson CACHORRINHAS par Luísa Sonza
Uh, ah
Eu vou levar minhas cachorrinhas pra curtir no pet shop
Desfilando, patricinha, porque sou uma artista pop
Meu nariz empinadinho, não me rele, não me toque
Sou mimada e correria, cachorra de grande porte (Rawr)
Temos pedigree, coleira cara
Meu perfume caro atiça os faro dos vira-lata

Eu e minhas cachorras au-au, dá a patinha deita e rola, hahahaha
Eu e minhas cachorras au-au, dá a patinha deita e rola

Olha o meu visual, não ligo pra tua inveja, falador passa mal
Quando nós abana o rabo, eles late tudo, uau
Eu e minhas cachorras au-au, da a patinha deita e rola
Olha o meu visual, não ligo pra tua inveja, falador passa mal
Quando nós abana o rabo, eles late tudo, uau

Okay, okay, agora eu vou mostrar pra vocês as minhas meninas
Hahahaha

Cadelinha número um é a famosa Giselle
Insuportável, inadestrável, essa é minha BFF
Cadela número dois é a Britney Bitch
Ela é mandraca, nunca dá a pata
Essa é a Dudinha, a número três

Cachorra novinha, não deita pra ex
Minha gata pirada, de quatro ela vem
Essa é a Rita Lee, come quieto, come bem

Eu e minhas cachorras au-au, dá a patinha deita e rola
Olha o meu visual, não ligo pra tua inveja, falador passa mal
Quando nós abana o rabo, eles late, uau
Eu e minhas cachorras au-au, dá a patinha deita e rola
Olha o meu visual, não ligo pra tua inveja, falador passa mal
Quando nós abana o rabo, eles late, uau

Eu e minhas cachorras au-au
Olha o meu visual (Uhum)
Falador passa mal

Eles late, uau

Eu e minhas cachorras au-au, dá a patinha deita e rola
Olha o meu visual, não ligo pra tua inveja, falador passa mal
Quando nós abana o rabo, eles late, uau
Eu e minhas cachorras au-au, dá a patinha deita e rola
Olha o meu visual, não ligo pra tua inveja, falador passa mal
Quando nós abana o rabo, eles late, uau",pop
Luisa Sonza,Chico,"Paroles de la chanson Chico par Luísa Sonza
Folia pra mim, me arriscar no amor
Apostar na incerteza, pular de onde for
De novo, meu amor
Diziam pra mim que essa moda passou
Que monogamia é papo de doido
Mas pra mim é uma honra ser uma cafona
Pra esse povo

Me pinto pra disfarçar
Rebusco palavras pra te encantar
Invento uma moda, faço bossa nova
Meu futuro no Rio será, mm

Chico, se tu me quiseres
Sou dessas mulheres de se apaixonar
Pode fazer a sua fumaça, o Bar da Cachaça vai ser nosso lar

E, Chico, se tu me quiseres
Debato política, tomo o teu partido
E se for pra repartir o amor, que reparta comigo, mm
Chico, se tu me quiseres
Sou dessas mulheres de se apaixonar
Pode fazer a sua fumaça, o Bar da Cachaça vai ser nosso lar
Pois, Chico, se tu me quiseres
Debato política, tomo o teu partido
E se for pra repartir o amor, que reparta comigo, comigo",pop
Luisa Sonza,Campo De Morango,"Paroles de la chanson Campo De Morango par Luísa Sonza
Malvadona, safada
Quer crime, eu sou karma
Metida, assanhada
Só haxa do bom
Luxúria né praga, de Balenciaga
De costa' me encara, ah
Tua vizinha pelada eu sou
Na BMW borrando batom
Toda boa, boa, boa menina
Solta esse beat, eu resolvo por cima (Yeah)

Sonhei com campos de morango (Fuck that)
Tu provando da fruta enquanto eu 'tava me excitando (Fuck that, yeah)
Acordei, tu 'tava me chamando (Fuck that)
Eu 'tava de ladinho e tu ia colocando (Fuck that)

Sou uma vagabunda na tua cama
Me bota e pode falar que me ama
Eu gosto do jeitin' que tu me chama
E 'tava certa sobre toda tua fama

Segura mais um pouco que eu tô chegando lá (Fuck that)
Vai tomar do meu suco, é só lamber devagar (Fuck that, yeah)
Segura mais um pouco, eu tô chegando lá (Fuck that)
Vou tomar do teu suco, eu vou lamber devagar (Fu t-t-t-t-hat)

Malvadona, safada
Quer crime, eu sou karma
Metida, assanhada
Só haxa do bom

Luxúria né praga, de Balenciaga
De costa' me encara, ah
Tua vizinha pelada eu sou
Na BMW borrando batom
Toda boa, boa, boa menina
Solta esse beat, eu resolvo por cima

Jogando Nintendo, ouvindo Beatles
Meu lindo, meu malvado favorito
Sem bala, eu prefiro pirulito
Teu pirulito (Uh)
Teu pirulito (Ah)",pop
Luisa Sonza,Penhasco,"Sabia que a queda era grande
Mas tive que pular
Queria que a gente fosse mais alto
Quando segurei sua mão você soltou a minha
E ainda me empurrou do penhasco

E te dizer te amo agora é mais estranho

Estranho mesmo é te ver distante

Botar o nosso amor numa estante



Eu tive que desaprender a gostar tanto de você

Porque cê faz assim?

Não fala assim de mim



E eu sei que chora

Não finge que não viveu toda nossa história

Meu Deus eu pedi tanto pra não ir embora

Mas tenho que seguir meu caminho agora

E eu sei que chora

Não finge que não viveu toda nossa história

Meu Deus eu pedi tanto pra não ir embora

Mas tenho que seguir meu caminho agora



Cê sabe bem quem eu sou

Sabe que se chamar eu vou

Cê sabe bem quem eu sou

Sabe que se me chamar eu vou



E eu não sinto raiva, eu não sinto nada além

Do que você já sabe

E olha que cê sabe bem, meu bem

O tanto que eu tentei

E eu não sinto raiva, eu não sinto nada além

Do que você já sabe

E olha que cê sabe bem, meu bem

O tanto que eu tentei



Eu tive que desaprender a gostar tanto de você

Porque cê faz assim?

Não fala assim de mim



E eu sei que chora

Mas tenho que seguir o meu caminho agora



E eu sei que chora

Não finge que não viveu toda a nossa história

Meu Deus eu pedi tanto pra não ir embora

Mas tenho que seguir meu caminho agora



Cê sabe bem quem eu sou

Sabe que se chamar eu vou

Cê sabe bem quem eu sou

Sabe que se me chamar eu vou",pop
Seu Jorge,Amiga Da Minha Mulher,"Ela é amiga da minha mulher.
Pois é, pois é..
Mas vive dando em cima de mim.
Enfim, enfim..
Ainda por cima é uma tremenda gata, pra piorar minha situação.
Se fosse mulher feia tava tudo certo, mulher bonita mexe com meu coração.

Se fosse mulher feia tava tudo certo, mulher bonita mexe com meu coração.



[refrão]

Não pego, eu pego, não pego, eu pego, eu não pego não..

Não pego, eu pego, não pego, eu pego, eu não pego não..



Minha mulher me perguntou até: qual é, qual é?

Eu respondi que não tô nem aí.

Menti, menti..

De vez em quando eu fico admirando, é muita areia pro meu caminhão.

Se fosse mulher feia tava tudo certo, mulher bonita mexe com meu coração.

Se fosse mulher feia tava tudo certo, mulher bonita mexe com meu coração.



[refrão]

Não pego, eu pego, não pego, eu pego, eu não pego não..

Não pego, eu pego, não pego, eu pego, eu não pego não..



O meu cunhado já me avisou, que se eu der mole ele vai me entregar.

A minha sogra me orientou, isso não tá certo é melhor parar.

Falei, ela não quis ouvir. pedi, ela não respeitou.

Eu juro! a carne é fraca mas nunca rolou.(2x)



[repete tudo]



[refrão]

Não pego, eu pego, não pego, eu pego, eu não pego não..

Não pego, eu pego, não pego, eu pego, eu não pego não.. (4x)",MPB/samba/soul
Seu Jorge,Mina Do Condominio,"Tô namorando aquela mina
Mas não sei se ela me namora
Mina maneira do condomínio
Lá do bairro onde eu moro(BIS)
Seu cabelo me alucina

Sua boca me devora

Sua voz me ilumina

Seu olhar me apavora

Me perdi no seu sorriso

Nem preciso me encontrar

Não me mostre o paraíso

Que se eu for, não vou voltar

Pois eu vou

Eu digo ""oi"" ela nem nada

Passa na minha calçada

Dou bom dia ela nem liga

Se ela chega eu paro tudo

Se ela passa eu fico todo

Se vem vindo eu faço figa

eu mando um beijo ela não pega

pisco olho ela se nega

Faço pose ela não vê

Jogo charme ela ignora

Chego junto ela sai fora

Eu escrevo ela não lê



Minha mina

Minha amiga

Minha namorada

Minha gata

Minha sina

Do meu condomínio

Minha musa

Minha vida

Minha Monalisa

Minha Vênus

Minha deusa

Quero seu fascínio (BIS)",MPB/samba/soul
Seu Jorge,Burguesinha,"Vai no cabeleireiro
No esteticista
Malha o dia inteiro
Vida de artista
Saca dinheiro

Vai de motorista

Com seu carro esporte

Vai zoar na pista



Final de semana

Na casa de praia

Só gastando grana

Na maior gandaia

Vai pra balada

Dança bate estaca

Com a sua tribo

Até de madrugada



Burguesinha, burguesinha, burguesinha, burguesinha, burguesinha

Só no filé

Burguesinha, burguesinha, burguesinha, burguesinha, burguesinha

Tem o que quer

Burguesinha, burguesinha, burguesinha, burguesinha, burguesinha

No croissant

Burguesinha, burguesinha, burguesinha, burguesinha, burguesinha

Suquinho de maçã

Burguesinha, burguesinha, burguesinha, burguesinha",MPB/samba/soul
Seu Jorge,Carolina,"Carolina é uma menina bem difícil de esquecer
Andar bonito e um brilho no olhar
Tem um jeito adolescente que me faz enlouquecer
E um molejo que não vou te enganar
Maravilha feminina, meu docinho de pavê
Inteligente ela é muito sensual

Eu te confesso que estou apaixonado por você



O Carolina isso é muito natural

Carolina eu preciso de você

Carolina não vou suportar não te ver

Carolina eu preciso te falar

Carolina eu vou amar você



De segunda a segunda eu fico louco pra te ver

Quando eu te ligo você quase nunca está

Isso era outra coisa que eu queria te dizer

não temos tempo então melhor deixar pra lá

a princípio no Domingo o que você quer fazer

faça um pedido que eu irei realizar

olha aí amigo eu digo que ela só me dá prazer

Essa mina Carolina é de abalar



Ô Carolina eu preciso de você

Ô Carolina não vou suportar não te ver

Ô Carolina eu preciso te falar

Ô Carolina eu vou amar você

Carolina, Carolina



Carolina, preciso te encontrar

Carolina, me sinto muito só

Carolina, preciso te dizer

Ô Carolina eu só quero amar você

Carol, Carol, Carol...",MPB/samba/soul
